Id,VN30F1M,len,datetime,open,high,low,close,volume,openinterest,CompareOHLCV,len,datetime,datetime,Value,len,value,Broker,len,cash,value,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown,BuySell,len,buy,sell
895,VN30F1M,895,2020-05-18 04:00:00,775.0,777.0,773.6,777.0,14476.0,,CompareOHLCV,895,,737563.1666666666,Value,895,1847419999.9999995,Broker,895,1847419929.9999995,1847419999.9999995,Trades - Net Profit/Loss,895,,,DrawDown,895,0.9617977431714546,12.665865767793717,BuySell,895,775.0,
896,VN30F1M,896,2020-05-18 04:30:00,777.0,777.0,777.0,777.0,75.0,,CompareOHLCV,896,,737563.1875,Value,896,1847419999.9999995,Broker,896,1847419929.9999995,1847419999.9999995,Trades - Net Profit/Loss,896,,,DrawDown,896,0.9617977431714546,12.665865767793717,BuySell,896,,
897,VN30F1M,897,2020-05-18 06:00:00,777.0,779.9,775.6,778.4,23034.0,,CompareOHLCV,897,,737563.25,Value,897,1857219999.9999993,Broker,897,1857219929.9999993,1857219999.9999993,Trades - Net Profit/Loss,897,,,DrawDown,897,0.43643026738527907,12.665865767793717,BuySell,897,,
898,VN30F1M,898,2020-05-18 06:30:00,778.4,780.9,778.0,779.0,20227.0,,CompareOHLCV,898,,737563.2708333334,Value,898,1861419999.9999995,Broker,898,1861419929.9999995,1861419999.9999995,Trades - Net Profit/Loss,898,,,DrawDown,898,0.21127277776261413,12.665865767793717,BuySell,898,,
899,VN30F1M,899,2020-05-18 07:00:00,778.5,783.4,778.2,782.7,22048.0,,CompareOHLCV,899,,737563.2916666666,Value,899,1887319999.9999998,Broker,899,1887319929.9999998,1887319999.9999998,Trades - Net Profit/Loss,899,,,DrawDown,899,0.0,12.665865767793717,BuySell,899,,
900,VN30F1M,900,2020-05-18 07:30:00,782.7,788.0,782.7,788.0,4702.0,,CompareOHLCV,900,,737563.3125,Value,900,1924419999.9999995,Broker,900,1924419929.9999995,1924419999.9999995,Trades - Net Profit/Loss,900,,,DrawDown,900,0.0,12.665865767793717,BuySell,900,,
901,VN30F1M,901,2020-05-19 02:00:00,805.9,807.5,803.0,805.1,13128.0,,CompareOHLCV,901,,737564.0833333334,Value,901,2043902999.9999998,Broker,901,2043902929.9999998,2043902999.9999998,Trades - Net Profit/Loss,901,,,DrawDown,901,0.0,12.665865767793717,BuySell,901,,
902,VN30F1M,902,2020-05-19 02:30:00,805.1,808.4,805.0,805.4,9983.0,,CompareOHLCV,902,,737564.1041666666,Value,902,2046002999.9999995,Broker,902,2046002929.9999995,2046002999.9999995,Trades - Net Profit/Loss,902,,,DrawDown,902,0.0,12.665865767793717,BuySell,902,,
903,VN30F1M,903,2020-05-19 03:00:00,805.5,806.0,803.5,805.4,9923.0,,CompareOHLCV,903,,737564.125,Value,903,2046002999.9999995,Broker,903,2046002929.9999995,2046002999.9999995,Trades - Net Profit/Loss,903,,,DrawDown,903,0.0,12.665865767793717,BuySell,903,,
904,VN30F1M,904,2020-05-19 03:30:00,805.5,809.6,803.7,808.7,15829.0,,CompareOHLCV,904,,737564.1458333334,Value,904,2069103000.0,Broker,904,2069102930.0,2069103000.0,Trades - Net Profit/Loss,904,,,DrawDown,904,0.0,12.665865767793717,BuySell,904,,
