Id,VN30F1M,len,datetime,open,high,low,close,volume,openinterest,Alpha,len,datetime,datetime,Value,len,value,Broker,len,cash,value,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown,BuySell,len,buy,sell
879,VN30F1M,879,2020-09-16 06:00:00,832.8,834.0,831.6,833.4,18048.0,,Alpha,879,,737684.25,Value,879,1722046500.0,Broker,879,1722046500.0,1722046500.0,Trades - Net Profit/Loss,879,,-2345000.0,DrawDown,879,1.9284883214335273,16.71492932526923,BuySell,879,,832.8
880,VN30F1M,880,2020-09-16 07:00:00,833.5,834.6,832.6,834.6,10226.0,,Alpha,880,,737684.2916666666,Value,880,1725599000.0,Broker,880,1725598965.0,1725599000.0,Trades - Net Profit/Loss,880,,,DrawDown,880,1.72617145877151,16.71492932526923,BuySell,880,833.5,
881,VN30F1M,881,2020-09-17 02:00:00,833.4,834.0,832.6,833.8,11119.0,,Alpha,881,,737685.0833333334,Value,881,1720992999.9999998,Broker,881,1720992999.9999998,1720992999.9999998,Trades - Net Profit/Loss,881,,-1053500.0000000796,DrawDown,881,1.988485735878139,16.71492932526923,BuySell,881,,833.4
882,VN30F1M,882,2020-09-17 03:00:00,833.8,835.4,833.5,834.9,7209.0,,Alpha,882,,737685.125,Value,882,1724545499.9999998,Broker,882,1724545464.9999998,1724545499.9999998,Trades - Net Profit/Loss,882,,,DrawDown,882,1.7861688732161218,16.71492932526923,BuySell,882,833.8,
883,VN30F1M,883,2020-09-17 04:00:00,834.9,836.0,834.9,835.7,4232.0,,Alpha,883,,737685.1666666666,Value,883,1721150499.9999995,Broker,883,1721150464.9999995,1721150499.9999995,Trades - Net Profit/Loss,883,3255000.0000000796,,DrawDown,883,1.979516022755206,16.71492932526923,BuySell,883,,834.9
884,VN30F1M,884,2020-09-17 06:00:00,835.7,836.5,827.2,830.7,30853.0,,Alpha,884,,737685.25,Value,884,1720852999.9999995,Broker,884,1720852999.9999995,1720852999.9999995,Trades - Net Profit/Loss,884,,-3395000.000000239,DrawDown,884,1.9964588142096606,16.71492932526923,BuySell,884,835.7,
885,VN30F1M,885,2020-09-17 07:00:00,830.7,835.9,830.0,831.0,16021.0,,Alpha,885,,737685.2916666666,Value,885,1720852999.9999995,Broker,885,1720852999.9999995,1720852999.9999995,Trades - Net Profit/Loss,885,,,DrawDown,885,1.9964588142096606,16.71492932526923,BuySell,885,,
886,VN30F1M,886,2020-09-18 02:00:00,834.4,835.7,833.4,835.5,15804.0,,Alpha,886,,737686.0833333334,Value,886,1720852999.9999995,Broker,886,1720852999.9999995,1720852999.9999995,Trades - Net Profit/Loss,886,,,DrawDown,886,1.9964588142096606,16.71492932526923,BuySell,886,,
887,VN30F1M,887,2020-09-18 03:00:00,835.5,842.4,835.4,840.9,33578.0,,Alpha,887,,737686.125,Value,887,1758057999.9999993,Broker,887,1758057929.9999993,1758057999.9999993,Trades - Net Profit/Loss,887,,,DrawDown,887,0.0,16.71492932526923,BuySell,887,835.5,
888,VN30F1M,888,2020-09-18 04:00:00,840.8,842.3,839.9,841.3,11707.0,,Alpha,888,,737686.1666666666,Value,888,1760857999.999999,Broker,888,1760857929.999999,1760857999.999999,Trades - Net Profit/Loss,888,,,DrawDown,888,0.0,16.71492932526923,BuySell,888,,
889,VN30F1M,889,2020-09-18 06:00:00,842.5,844.4,841.4,843.4,27552.0,,Alpha,889,,737686.25,Value,889,1775557999.9999993,Broker,889,1775557929.9999993,1775557999.9999993,Trades - Net Profit/Loss,889,,,DrawDown,889,0.0,16.71492932526923,BuySell,889,,
890,VN30F1M,890,2020-09-18 07:00:00,843.4,847.7,842.9,846.3,22664.0,,Alpha,890,,737686.2916666666,Value,890,1774962999.9999993,Broker,890,1774962999.9999993,1774962999.9999993,Trades - Net Profit/Loss,890,54109999.99999984,,DrawDown,890,0.033510592163139716,16.71492932526923,BuySell,890,,843.4
891,VN30F1M,891,2020-09-21 02:00:00,846.0,855.5,845.9,854.9,26112.0,,Alpha,891,,737689.0833333334,Value,891,1805815499.9999993,Broker,891,1805815464.9999993,1805815499.9999993,Trades - Net Profit/Loss,891,,,DrawDown,891,0.0,16.71492932526923,BuySell,891,846.0,
892,VN30F1M,892,2020-09-21 03:00:00,854.9,856.8,851.7,853.2,32820.0,,Alpha,892,,737689.125,Value,892,1805517999.9999993,Broker,892,1805517999.9999993,1805517999.9999993,Trades - Net Profit/Loss,892,30554999.99999992,,DrawDown,892,0.016474551248452575,16.71492932526923,BuySell,892,,854.9
893,VN30F1M,893,2020-09-21 04:00:00,853.0,854.4,852.5,853.1,8112.0,,Alpha,893,,737689.1666666666,Value,893,1805570499.9999993,Broker,893,1805570464.9999993,1805570499.9999993,Trades - Net Profit/Loss,893,,,DrawDown,893,0.01356727749872565,16.71492932526923,BuySell,893,853.0,
894,VN30F1M,894,2020-09-21 06:00:00,851.0,853.8,850.2,850.6,30826.0,,Alpha,894,,737689.25,Value,894,1797922999.9999993,Broker,894,1797922999.9999993,1797922999.9999993,Trades - Net Profit/Loss,894,,-7595000.0,DrawDown,894,0.43706015370894774,16.71492932526923,BuySell,894,,851.0
895,VN30F1M,895,2020-09-21 07:00:00,850.3,851.6,846.0,848.0,32090.0,,Alpha,895,,737689.2916666666,Value,895,1789575499.9999995,Broker,895,1789575464.9999995,1789575499.9999995,Trades - Net Profit/Loss,895,,,DrawDown,895,0.8993166799155157,16.71492932526923,BuySell,895,850.3,
896,VN30F1M,896,2020-09-22 02:00:00,846.2,849.3,845.3,848.5,25385.0,,Alpha,896,,737690.0833333334,Value,896,1774522000.0,Broker,896,1774521965.0,1774522000.0,Trades - Net Profit/Loss,896,,-15053499.999999681,DrawDown,896,1.7329289730871895,16.71492932526923,BuySell,896,,846.2
897,VN30F1M,897,2020-09-22 03:00:00,848.6,852.9,848.6,851.8,25106.0,,Alpha,897,,737690.125,Value,897,1773874500.0,Broker,897,1773874500.0,1773874500.0,Trades - Net Profit/Loss,897,,-8994999.99999992,DrawDown,897,1.7687853493338217,16.71492932526923,BuySell,897,848.6,
898,VN30F1M,898,2020-09-22 04:00:00,851.6,853.3,851.1,853.0,10828.0,,Alpha,898,,737690.1666666666,Value,898,1778477000.0,Broker,898,1778476965.0,1778477000.0,Trades - Net Profit/Loss,898,,,DrawDown,898,1.5139143506077612,16.71492932526923,BuySell,898,851.6,
899,VN30F1M,899,2020-09-22 06:00:00,851.9,853.5,846.6,849.4,43329.0,,Alpha,899,,737690.25,Value,899,1765877000.0,Broker,899,1765876965.0,1765877000.0,Trades - Net Profit/Loss,899,,,DrawDown,899,2.211660050542223,16.71492932526923,BuySell,899,,
900,VN30F1M,900,2020-09-22 07:00:00,849.4,851.6,847.2,850.0,28912.0,,Alpha,900,,737690.2916666666,Value,900,1767977000.0,Broker,900,1767976965.0,1767977000.0,Trades - Net Profit/Loss,900,,,DrawDown,900,2.095369100553146,16.71492932526923,BuySell,900,,
901,VN30F1M,901,2020-09-23 02:00:00,854.3,857.9,854.3,856.6,30758.0,,Alpha,901,,737691.0833333334,Value,901,1798721000.0000002,Broker,901,1798720930.0000002,1798721000.0000002,Trades - Net Profit/Loss,901,,,DrawDown,901,0.39286959271304567,16.71492932526923,BuySell,901,854.3,
902,VN30F1M,902,2020-09-23 03:00:00,856.5,858.5,855.6,857.1,24890.0,,Alpha,902,,737691.125,Value,902,1797426000.0,Broker,902,1797426000.0,1797426000.0,Trades - Net Profit/Loss,902,23551499.999999683,,DrawDown,902,0.464582345206323,16.71492932526923,BuySell,902,,856.5
903,VN30F1M,903,2020-09-23 04:00:00,857.2,857.2,853.6,853.7,18154.0,,Alpha,903,,737691.1666666666,Value,903,1784878500.0,Broker,903,1784878465.0,1784878500.0,Trades - Net Profit/Loss,903,,,DrawDown,903,1.159420771391058,16.71492932526923,BuySell,903,857.2,
904,VN30F1M,904,2020-09-23 06:00:00,855.1,856.5,853.1,855.3,29375.0,,Alpha,904,,737691.25,Value,904,1787486000.0000005,Broker,904,1787485930.0000005,1787486000.0000005,Trades - Net Profit/Loss,904,,-7945000.000000079,DrawDown,904,1.0150261751545944,16.71492932526923,BuySell,904,,855.1
905,VN30F1M,905,2020-09-23 07:00:00,855.2,856.5,851.5,854.1,27898.0,,Alpha,905,,737691.2916666666,Value,905,1787590999.9999998,Broker,905,1787590999.9999998,1787590999.9999998,Trades - Net Profit/Loss,905,,-1890000.0000001593,DrawDown,905,1.0092116276551801,16.71492932526923,BuySell,905,855.2,
